cost,gate count,tqc3TT,tqc3RT,tqc3GC,tqc2TT,tqc2RT,tqc2GC,tqc1TT,tqc1RT,tqc1GC,tqc0TT,tqc0RT,tqc0GC
18,12,0.028025293350219728,0.1055800199508667,12.466666666666667,0.021336960792541503,0.1044778823852539,12.466666666666667,0.021429141362508137,0.11196253299713135,12.466666666666667,0.011641105016072592,0.10569465160369873,32.13333333333333
18,13,0.0345095157623291,0.09982890288035075,10.866666666666667,0.022195164362589517,0.10959826310475668,10.5,0.019414806365966798,0.10997235774993896,10.9,0.015806714693705242,0.10113141536712647,33.733333333333334
18,14,0.03108959992726644,0.09383436838785807,8.166666666666666,0.020005019505818684,0.10706957976023355,7.966666666666667,0.018158729871114096,0.11124454339345297,8.1,0.015310319264729817,0.11346671581268311,35.733333333333334
18,15,0.02768404483795166,0.10120066006978352,10.2,0.02132548491160075,0.11190527280171712,10.2,0.018661324183146158,0.106968092918396,10.2,0.011863295237223308,0.10668179194132486,38.06666666666667
18,16,0.027912386258443198,0.09681212107340495,9.966666666666667,0.021408796310424805,0.10585777759552002,9.966666666666667,0.01890101432800293,0.11037818590799968,9.966666666666667,0.012255644798278809,0.10877440770467123,39.2
18,17,0.027506383260091145,0.09434818426767985,8.933333333333334,0.024045387903849285,0.10519872506459554,8.933333333333334,0.022129019101460774,0.11019408702850342,8.933333333333334,0.012101395924886068,0.10765840212504069,41.0
18,18,0.02493764559427897,0.10011480649312338,6.866666666666666,0.018553503354390464,0.11192372639973959,6.866666666666666,0.01713142395019531,0.1049294630686442,6.866666666666666,0.01048125425974528,0.11083329518636068,42.8
19,4,0.03050833543141683,0.09999222755432129,8.433333333333334,0.019563738505045572,0.10971961816151937,8.1,0.014823261896769207,0.10987483660380046,8.1,0.014813788731892904,0.11005245844523112,17.066666666666666
19,5,0.03032042980194092,0.09802807966868082,7.733333333333333,0.01952062447865804,0.10979681015014649,7.333333333333333,0.014353783925374348,0.10579211711883545,7.4,0.013895440101623534,0.1150472084681193,18.866666666666667
19,6,0.03144404093424479,0.0963306983311971,12.2,0.02312320868174235,0.11007956663767497,12.2,0.017206891377766927,0.10933566888173421,12.2,0.01420000394185384,0.10678306420644125,20.5
