cost,depth,tqc3TT,tqc3RT,tqc3Depth,tqc2TT,tqc2RT,tqc2Depth,tqc1TT,tqc1RT,tqc1Depth,tqc0TT,tqc0RT,tqc0Depth
10,4,0.0280362844467163,0.1052070379257202,6.0,0.0188538551330566,0.1097979307174682,6.0,0.0147360563278198,0.1092215299606323,7.0,0.0161806106567382,0.1235849618911743,6.0
10,5,0.0276921987533569,0.1066316127777099,5.0,0.0190985918045043,0.1032916784286499,5.0,0.0142430782318115,0.1127696514129638,6.0,0.0153700113296508,0.1126251220703125,6.1
10,6,0.0229332685470581,0.1082366228103637,4.0,0.0143980979919433,0.104330039024353,4.0,0.0119391441345214,0.1129913568496704,4.0,0.0247166633605957,0.10418541431427,6.0
10,7,0.0211607694625854,0.0986222505569458,3.0,0.0198571681976318,0.1376024961471557,3.0,0.0174594163894653,0.1293037891387939,3.0,0.0119019985198974,0.1141409873962402,17.0
10,8,0.0188622236251831,0.1014070749282836,0.0,0.0161936521530151,0.112533688545227,0.0,0.0143868684768676,0.1133448123931884,0.0,0.0119406223297119,0.1132510662078857,20.0
10,9,0.0210477590560913,0.1002184629440307,3.0,0.0171912431716918,0.1116548061370849,3.0,0.0153958320617675,0.1127598762512207,3.0,0.0112923622131347,0.1121444702148437,19.0
11,1,0.0254646301269531,0.1007367134094238,2.0,0.019558310508728,0.1188083171844482,2.0,0.0154892921447753,0.1155189275741577,2.0,0.0097063541412353,0.1063027620315551,5.0
11,2,0.0256048440933227,0.1074636459350586,2.0,0.01530442237854,0.1140643835067749,2.0,0.0133905887603759,0.1061215639114379,2.0,0.013587212562561,0.1130436897277832,5.0
11,3,0.0159760951995849,0.110417890548706,3.0,0.0086881637573242,0.115483021736145,3.0,0.0074432849884033,0.1087767839431762,3.0,0.0129460334777832,0.1242853164672851,4.0
11,4,0.0248002052307128,0.1130630731582641,4.0,0.0156780958175659,0.1099698781967163,4.0,0.0132267475128173,0.1137052536010742,4.0,0.0145586490631103,0.1142430067062378,11.0
11,5,0.0266966581344604,0.0984236240386962,5.0,0.0273299694061279,0.102109146118164,5.0,0.014564037322998,0.1121286869049072,7.0,0.0160440206527709,0.1058153390884399,7.0
11,6,0.0236110210418701,0.1070822954177856,4.0,0.0157265424728393,0.1148551940917968,4.0,0.0143058776855468,0.105605411529541,4.0,0.0168700456619262,0.1153735876083374,9.0
11,7,0.0245638608932495,0.1156328439712524,2.0,0.0169678688049316,0.1166637659072876,2.0,0.0158020496368408,0.1248893499374389,2.0,0.0185249805450439,0.1217083215713501,11.0
11,8,0.0234982967376709,0.1219883441925048,3.0,0.0200108289718627,0.1123611211776733,3.0,0.0170759201049804,0.1254538059234619,3.0,0.0122033357620239,0.119430923461914,18.0
11,9,0.0220761537551879,0.1102382659912109,1.0,0.0178029775619506,0.1186535596847534,1.0,0.0175619602203369,0.1208268642425537,1.0,0.0238112211227417,0.1099069356918334,29.0
11,10,0.0213553428649902,0.1029117345809936,3.0,0.0170948982238769,0.1122898578643798,3.0,0.0251782655715942,0.101006531715393,3.0,0.0110981702804565,0.112644076347351,36.0
12,1,0.0293912172317504,0.0985271453857421,3.0,0.0300168991088867,0.100361156463623,3.0,0.0171159029006958,0.1110683441162109,3.0,0.0115092039108276,0.1060164451599121,5.0
12,2,0.0402911186218261,0.0967726945877075,4.0,0.0219491481781005,0.1153100728988647,4.0,0.0186969280242919,0.1060413122177124,4.0,0.0160341262817382,0.110310935974121,6.0
12,3,0.0250047445297241,0.1058965682983398,3.0,0.0211856603622436,0.1025541543960571,3.0,0.0182005643844604,0.1107886791229248,3.0,0.0219494342803955,0.1010529041290283,11.0
